# This file was created Mon Sep 28 00:08:48 2015
# by the following command:
# g_rms -s dna.tpr -f dna.xtc -dt 1000 
#
# g_rms is part of G R O M A C S:
#
# GROwing Monsters And Cloning Shrimps
#
@    title "RMSD"
@    xaxis  label "Time (ps)"
@    yaxis  label "RMSD (nm)"
@TYPE xy
@ subtitle "DNA after lsq fit to DNA"
   0.0000000    0.0000622
1000.0000000    0.1804523
2000.0000000    0.1893643
3000.0000000    0.2242077
4000.0000000    0.2385781
5000.0000000    0.2326759
6000.0000000    0.2064677
7000.0000000    0.2333937
8000.0000000    0.2504177
9000.0000000    0.2263757
10000.0000000    0.2556760
11000.0000000    0.2851122
12000.0000000    0.2879386
13000.0000000    0.2765826
14000.0000000    0.2418799
15000.0000000    0.2889101
16000.0000000    4.3161459
17000.0000000    4.2919636
18000.0000000    4.2696962
19000.0000000    0.2556564
20000.0000000    0.2853487
21000.0000000    0.2875603
22000.0000000    6.0094223
23000.0000000    4.2527246
24000.0000000    5.9799771
25000.0000000    4.2547636
26000.0000000    4.2257624
27000.0000000    4.1965122
28000.0000000    6.0189514
29000.0000000    4.3153057
30000.0000000    0.2591297
31000.0000000    4.2733765
32000.0000000    4.2637134
33000.0000000    0.2148978
34000.0000000    6.0111852
35000.0000000    6.0161724
36000.0000000    4.2431626
37000.0000000    5.9451504
38000.0000000    4.2580266
39000.0000000    0.3023825
40000.0000000    0.2692278
41000.0000000    0.2688458
42000.0000000    0.2263549
43000.0000000    0.2209899
44000.0000000    0.2193313
45000.0000000    0.2479057
46000.0000000    0.2637951
47000.0000000    0.2019368
48000.0000000    0.2672879
49000.0000000    0.2573101
50000.0000000    0.2724811
51000.0000000    0.2400198
52000.0000000    0.2678362
53000.0000000    0.2283290
54000.0000000    0.2127063
55000.0000000    4.2597384
56000.0000000    5.9949694
57000.0000000    0.2714023
58000.0000000    4.2266693
59000.0000000    6.0254946
60000.0000000    4.2928262
61000.0000000    4.2995963
62000.0000000    4.3033595
63000.0000000    4.2958341
64000.0000000    4.2256293
65000.0000000    4.2244229
66000.0000000    0.2548001
67000.0000000    4.2529502
68000.0000000    4.2453370
69000.0000000    0.2763550
70000.0000000    0.2391708
71000.0000000    4.1825109
72000.0000000    0.2772617
73000.0000000    0.2848074
74000.0000000    4.2275605
75000.0000000    4.1766095
76000.0000000    0.2467039
77000.0000000    0.2388627
78000.0000000    4.1962895
79000.0000000    4.2519183
80000.0000000    0.2684706
81000.0000000    4.2563043
82000.0000000    4.1853080
83000.0000000    4.1978803
84000.0000000    0.2139822
85000.0000000    0.3125953
86000.0000000    0.2352593
87000.0000000    4.2853251
88000.0000000    4.2057137
89000.0000000    4.2471189
90000.0000000    4.2046394
91000.0000000    4.2642508
92000.0000000    4.2486868
93000.0000000    6.0480471
94000.0000000    4.2526450
95000.0000000    0.3133756
96000.0000000    0.2346061
97000.0000000    4.2193227
98000.0000000    0.2424941
99000.0000000    4.2361112
100000.0000000    4.1932516
101000.0000000    0.3197986
102000.0000000    0.2780453
103000.0000000    0.2823554
104000.0000000    4.3425632
105000.0000000    4.2045026
106000.0000000    4.2160473
107000.0000000    0.2353642
108000.0000000    4.2650485
109000.0000000    4.2824659
110000.0000000    4.2240200
111000.0000000    5.9942813
112000.0000000    4.2360096
113000.0000000    4.2849092
114000.0000000    5.9293666
115000.0000000    4.2239342
116000.0000000    6.0365987
117000.0000000    4.2673302
118000.0000000    4.2510581
119000.0000000    0.2798660
120000.0000000    4.2212396
121000.0000000    6.0306420
122000.0000000    4.2753081
123000.0000000    5.9822397
124000.0000000    4.2238617
125000.0000000    4.3148141
126000.0000000    4.3237429
127000.0000000    6.0348802
128000.0000000    0.3337538
129000.0000000    4.2246876
130000.0000000    0.2715156
131000.0000000    4.3109422
132000.0000000    4.2534366
133000.0000000    4.2683463
134000.0000000    4.2519512
135000.0000000    6.0044227
136000.0000000    4.2835126
137000.0000000    0.2270056
138000.0000000    0.3412511
139000.0000000    0.2113366
140000.0000000    0.2555630
141000.0000000    0.2680765
142000.0000000    0.2530655
143000.0000000    0.2608103
144000.0000000    0.1918830
145000.0000000    0.2252843
146000.0000000    0.3383924
147000.0000000    0.2511670
148000.0000000    0.2753618
149000.0000000    0.2937729
150000.0000000    0.3248961
151000.0000000    0.3245477
152000.0000000    0.3787094
153000.0000000    0.3270840
154000.0000000    0.3127483
155000.0000000    0.3317858
156000.0000000    0.4073451
157000.0000000    0.2919215
158000.0000000    0.3022202
159000.0000000    0.3348579
160000.0000000    0.2958839
161000.0000000    0.3880550
162000.0000000    0.3363053
163000.0000000    0.3578346
164000.0000000    4.2077217
165000.0000000    4.3002934
166000.0000000    5.9374170
167000.0000000    4.2477970
168000.0000000    4.2020102
169000.0000000    4.1950183
170000.0000000    4.2254825
171000.0000000    4.1644063
