# This file was created Sun Sep 27 23:29:21 2015
# by the following command:
# g_rms -s dna.tpr -f dna.xtc -dt 1000 
#
# g_rms is part of G R O M A C S:
#
# Giving Russians Opium May Alter Current Situation
#
@    title "RMSD"
@    xaxis  label "Time (ps)"
@    yaxis  label "RMSD (nm)"
@TYPE xy
@ subtitle "DNA after lsq fit to DNA"
   0.0000000    0.0000703
1000.0000000    0.1563726
2000.0000000    0.1753726
3000.0000000    0.1722632
4000.0000000    0.1710833
5000.0000000    4.2575459
6000.0000000    4.2427597
7000.0000000    6.0354056
8000.0000000    4.1929469
9000.0000000    4.2352090
10000.0000000    4.2028184
11000.0000000    4.3003860
12000.0000000    4.2163310
13000.0000000    4.2054157
14000.0000000    4.2385898
15000.0000000    4.2214942
16000.0000000    4.2442956
17000.0000000    4.2134819
18000.0000000    4.2311645
19000.0000000    0.1838995
20000.0000000    0.1528585
21000.0000000    4.2260804
22000.0000000    0.2017884
23000.0000000    0.2169771
24000.0000000    4.2306395
25000.0000000    0.2069402
26000.0000000    0.1832951
27000.0000000    0.2007097
28000.0000000    0.1736147
29000.0000000    0.1902057
30000.0000000    0.2240240
31000.0000000    0.2235604
32000.0000000    0.2279765
33000.0000000    4.1840029
34000.0000000    4.1716552
35000.0000000    4.2718081
36000.0000000    0.2536737
37000.0000000    4.1958704
38000.0000000    0.3018580
39000.0000000    0.3180486
40000.0000000    0.2981904
41000.0000000    4.2263789
42000.0000000    0.3074693
43000.0000000    0.2943474
44000.0000000    0.3092495
45000.0000000    0.2819511
46000.0000000    0.2817467
47000.0000000    4.2110481
48000.0000000    4.2110591
49000.0000000    4.2484255
50000.0000000    4.2398210
51000.0000000    4.2843528
52000.0000000    4.2125216
53000.0000000    4.2270274
54000.0000000    4.2059593
55000.0000000    4.1977420
56000.0000000    4.2018771
57000.0000000    4.2064433
58000.0000000    4.2615333
59000.0000000    4.2189169
60000.0000000    0.2521322
61000.0000000    4.2124724
62000.0000000    0.3385360
63000.0000000    0.2741090
64000.0000000    0.2980016
65000.0000000    0.2576369
66000.0000000    4.1885195
67000.0000000    4.2073588
68000.0000000    0.2462371
69000.0000000    0.2473677
70000.0000000    0.2799441
71000.0000000    0.2787094
72000.0000000    0.2603938
73000.0000000    0.2479829
74000.0000000    0.2462295
75000.0000000    0.2409990
76000.0000000    0.2482972
77000.0000000    4.1641779
78000.0000000    0.2397495
79000.0000000    0.2648039
80000.0000000    0.2530884
81000.0000000    4.2356992
82000.0000000    6.0439663
83000.0000000    4.2558308
84000.0000000    4.2962937
85000.0000000    5.9610577
86000.0000000    4.2597985
87000.0000000    6.0056314
88000.0000000    5.9653287
89000.0000000    5.9573717
90000.0000000    4.1910410
91000.0000000    0.1849953
92000.0000000    0.2682947
93000.0000000    0.2113650
94000.0000000    4.2791066
95000.0000000    0.1865030
96000.0000000    0.2018293
97000.0000000    0.2265906
98000.0000000    0.2278593
99000.0000000    0.1713908
100000.0000000    0.1826393
101000.0000000    0.1812175
102000.0000000    0.1887737
103000.0000000    0.1871883
104000.0000000    0.1634660
105000.0000000    0.2317622
106000.0000000    0.2245998
107000.0000000    0.1425704
108000.0000000    0.1854123
109000.0000000    0.2003973
110000.0000000    0.1597954
111000.0000000    0.2165460
112000.0000000    4.2509713
113000.0000000    4.3548975
114000.0000000    4.2586660
115000.0000000    4.2381625
116000.0000000    4.2554827
117000.0000000    5.9534445
118000.0000000    4.2061238
119000.0000000    4.2544379
120000.0000000    4.2134700
121000.0000000    4.2732906
122000.0000000    0.1920573
123000.0000000    0.1844997
124000.0000000    4.2540112
125000.0000000    4.1961131
126000.0000000    0.1940988
127000.0000000    0.1704460
128000.0000000    0.1828548
129000.0000000    0.1672810
130000.0000000    4.2822285
131000.0000000    4.2852492
132000.0000000    0.1905860
133000.0000000    4.2314181
134000.0000000    0.2162191
135000.0000000    0.2186774
136000.0000000    0.2063175
137000.0000000    4.1899877
138000.0000000    4.2138200
139000.0000000    0.1882092
140000.0000000    0.2004939
141000.0000000    4.2059026
142000.0000000    0.1703276
143000.0000000    4.2129846
144000.0000000    4.2758889
145000.0000000    4.2325768
146000.0000000    4.2119613
147000.0000000    4.2572045
148000.0000000    5.9925656
149000.0000000    4.2787066
150000.0000000    4.2587500
151000.0000000    0.2043157
152000.0000000    0.1664298
153000.0000000    4.2154441
154000.0000000    4.2452364
155000.0000000    6.0315847
156000.0000000    5.9673014
157000.0000000    4.2638850
158000.0000000    4.2133083
159000.0000000    4.2225747
160000.0000000    4.2510695
161000.0000000    5.9812689
162000.0000000    4.2020521
163000.0000000    4.2143984
164000.0000000    4.2520781
165000.0000000    5.9875507
166000.0000000    0.1997102
167000.0000000    4.2161374
168000.0000000    4.2393732
169000.0000000    4.2424593
170000.0000000    0.1897362
171000.0000000    0.2316059
