# This file was created Sun Sep 27 23:55:40 2015
# by the following command:
# g_rms -s dna.tpr -f dna.xtc -dt 1000 
#
# g_rms is part of G R O M A C S:
#
# God Rules Over Mankind, Animals, Cosmos and Such
#
@    title "RMSD"
@    xaxis  label "Time (ps)"
@    yaxis  label "RMSD (nm)"
@TYPE xy
@ subtitle "DNA after lsq fit to DNA"
   0.0000000    0.0000812
1000.0000000    0.8435978
2000.0000000    1.1377996
3000.0000000    1.4128402
4000.0000000    0.3851360
5000.0000000    4.2193537
6000.0000000    0.6591549
7000.0000000    0.5092768
8000.0000000    4.2480502
9000.0000000    4.2079477
10000.0000000    1.4428662
11000.0000000    1.8910495
12000.0000000    2.2942836
13000.0000000    0.8823749
14000.0000000    0.8426752
15000.0000000    0.6537304
16000.0000000    4.2176065
17000.0000000    1.4415445
18000.0000000    4.2029700
19000.0000000    4.1762853
20000.0000000    4.2248859
21000.0000000    4.2152076
22000.0000000    4.2798824
23000.0000000    4.2157717
24000.0000000    1.0355915
25000.0000000    0.5308982
26000.0000000    4.2437773
27000.0000000    0.7616754
28000.0000000    4.2765498
29000.0000000    4.2817125
30000.0000000    4.2614527
31000.0000000    4.1979346
32000.0000000    4.2636647
33000.0000000    0.9909067
34000.0000000    4.2543120
35000.0000000    4.2520452
36000.0000000    4.2426634
37000.0000000    0.5881426
38000.0000000    4.2616110
39000.0000000    4.2554212
40000.0000000    0.9884452
41000.0000000    0.8742903
42000.0000000    4.2439504
43000.0000000    4.2317228
44000.0000000    4.2408347
45000.0000000    0.5317663
46000.0000000    0.5178800
47000.0000000    4.2412996
48000.0000000    4.2236276
49000.0000000    1.4941251
50000.0000000    0.9215935
51000.0000000    4.1936698
52000.0000000    4.2232599
53000.0000000    4.2351308
54000.0000000    4.2491832
55000.0000000    4.2541518
56000.0000000    4.2561803
57000.0000000    4.2329350
58000.0000000    4.2560763
59000.0000000    4.2291961
60000.0000000    4.2385802
61000.0000000    4.2027731
62000.0000000    4.2373204
63000.0000000    4.1963644
64000.0000000    0.7911664
65000.0000000    4.1842108
66000.0000000    4.2538104
67000.0000000    4.1825571
68000.0000000    4.2551036
69000.0000000    4.2457924
70000.0000000    4.1730232
71000.0000000    4.1890368
72000.0000000    1.3575488
73000.0000000    1.3303132
74000.0000000    0.5388719
75000.0000000    4.2417145
76000.0000000    4.1968737
77000.0000000    4.2462926
78000.0000000    4.1448698
79000.0000000    0.7656475
80000.0000000    1.5221305
81000.0000000    1.4301726
82000.0000000    1.4039453
83000.0000000    1.1445965
84000.0000000    0.5896432
85000.0000000    4.1860719
86000.0000000    4.2136569
87000.0000000    1.4262840
88000.0000000    1.2973493
89000.0000000    0.3777173
90000.0000000    4.2063098
91000.0000000    4.1985893
92000.0000000    2.0127528
93000.0000000    0.6668679
94000.0000000    1.3651949
95000.0000000    1.2652010
96000.0000000    0.8063650
97000.0000000    2.1570301
98000.0000000    2.0234320
99000.0000000    0.8941030
100000.0000000    4.1590796
101000.0000000    4.2190342
102000.0000000    4.2230053
103000.0000000    4.2208939
104000.0000000    4.2289433
105000.0000000    1.2605025
106000.0000000    4.1766238
107000.0000000    4.2531652
108000.0000000    0.4837484
109000.0000000    4.2841463
110000.0000000    1.2209544
111000.0000000    4.2385359
112000.0000000    1.1154861
113000.0000000    0.7425860
114000.0000000    0.6420455
115000.0000000    1.0499159
116000.0000000    0.8450153
117000.0000000    4.2863030
118000.0000000    4.2079535
119000.0000000    4.2130699
120000.0000000    4.2126126
121000.0000000    4.1892838
122000.0000000    4.2714205
123000.0000000    4.2574883
124000.0000000    4.2967978
125000.0000000    4.2123613
126000.0000000    4.2714257
127000.0000000    4.2899199
128000.0000000    0.9906575
129000.0000000    0.5770194
130000.0000000    4.2637520
131000.0000000    4.2481451
132000.0000000    4.2816377
133000.0000000    4.2420177
134000.0000000    4.2675438
135000.0000000    1.2113496
136000.0000000    4.2393093
137000.0000000    2.0747943
138000.0000000    0.9985306
139000.0000000    1.1850160
140000.0000000    0.9704422
141000.0000000    0.8195948
142000.0000000    1.1663249
143000.0000000    1.4827826
144000.0000000    1.3205078
145000.0000000    1.3385776
146000.0000000    2.0771391
147000.0000000    1.3219172
148000.0000000    2.2529745
149000.0000000    1.1202099
150000.0000000    0.5305188
151000.0000000    4.2329421
152000.0000000    4.2932520
153000.0000000    4.2290955
154000.0000000    4.2185750
155000.0000000    4.2805772
156000.0000000    4.2626462
157000.0000000    4.2821007
158000.0000000    4.3189182
159000.0000000    4.3109789
160000.0000000    1.1674856
161000.0000000    1.0951322
162000.0000000    0.9934969
163000.0000000    1.0868440
164000.0000000    4.3046741
165000.0000000    4.2829914
166000.0000000    4.2338963
167000.0000000    4.2160630
168000.0000000    4.3423686
169000.0000000    4.3049393
170000.0000000    4.1981883
