  Time   ChainA   ChainB   ChainC    ChainD
   0.00  0.2765   0.3558   0.4105    0.2408
  10.00  0.2780   0.3429   0.4164    0.2326
  20.00  0.2578   0.3410   0.4397    0.2465
  30.00  0.2664   0.3649   0.4098    0.2385
  40.00  0.2526   0.3845   0.4001    0.2333
  50.00  0.2662   0.3846   0.3788    0.2413
  60.00  0.2711   0.3427   0.3881    0.2546
  70.00  0.2775   0.3379   0.3865    0.2366
  80.00  0.2752   0.3559   0.4045    0.2410
  90.00  0.2745   0.3462   0.3944    0.2366
 100.00  0.2707   0.3376   0.3924    0.2346
 110.00  0.2488   0.3466   0.3853    0.2259
 120.00  0.2561   0.3733   0.4005    0.2283
 130.00  0.2641   0.3677   0.4074    0.2252
 140.00  0.2718   0.3658   0.3974    0.2275
 150.00  0.2779   0.3748   0.3963    0.2395
 160.00  0.2654   0.3675   0.3993    0.2494
 170.00  0.2767   0.3511   0.3867    0.2339
 180.00  0.2847   0.3600   0.3949    0.2423
 190.00  0.3002   0.3479   0.3966    0.2329
 200.00  0.2760   0.3462   0.3986    0.2262
 210.00  0.2842   0.3781   0.3985    0.2428
 220.00  0.2886   0.3418   0.3903    0.2432
 230.00  0.2817   0.3427   0.3820    0.2467
 240.00  0.2757   0.3245   0.4071    0.2505
 250.00  0.2981   0.3271   0.4084    0.2455
 260.00  0.2837   0.3273   0.4212    0.2527
 270.00  0.2819   0.3112   0.4164    0.2400
 280.00  0.2856   0.3125   0.4084    0.2394
 290.00  0.2772   0.3107   0.4126    0.2508
 300.00  0.2642   0.3162   0.4140    0.2629
 310.00  0.2632   0.3154   0.3962    0.2487
 320.00  0.2525   0.3118   0.4065    0.2635
 330.00  0.2632   0.3126   0.3895    0.2569
 340.00  0.2830   0.3162   0.4080    0.2480
 350.00  0.2799   0.3084   0.4171    0.2446
 360.00  0.2704   0.3285   0.4258    0.2495
 370.00  0.2847   0.3140   0.4265    0.2449
 380.00  0.2872   0.2984   0.4157    0.2442
 390.00  0.3012   0.3021   0.4146    0.2486
 400.00  0.2950   0.2977   0.4106    0.2568
 410.00  0.2870   0.3124   0.4183    0.2524
 420.00  0.2952   0.3172   0.4214    0.2348
 430.00  0.2975   0.3114   0.3879    0.2266
 440.00  0.3046   0.3012   0.3987    0.2285
 450.00  0.3064   0.3281   0.4223    0.2232
