    T       A        B
   0.00  0.2765   0.3558 
  10.00  0.2780   0.3429 
  20.00  0.2578   0.3410 
  30.00  0.2664   0.3649 
  40.00  0.2526   0.3845 
  50.00  0.2662   0.3846 
  60.00  0.2711   0.3427 
  70.00  0.2775   0.3379 
  80.00  0.2752   0.3559 
  90.00  0.2745   0.3462 
 100.00  0.2707   0.3376 
 110.00  0.2488   0.3466 
 120.00  0.2561   0.3733 
 130.00  0.2641   0.3677 
 140.00  0.2718   0.3658 
 150.00  0.2779   0.3748 
 160.00  0.2654   0.3675 
 170.00  0.2767   0.3511 
 180.00  0.2847   0.3600 
 190.00  0.3002   0.3479 
 200.00  0.2760   0.3462 
 210.00  0.2842   0.3781 
 220.00  0.2886   0.3418 
 230.00  0.2817   0.3427 
 240.00  0.2757   0.3245 
 250.00  0.2981   0.3271 
 260.00  0.2837   0.3273 
 270.00  0.2819   0.3112 
 280.00  0.2856   0.3125 
 290.00  0.2772   0.3107 
 300.00  0.2642   0.3162 
 310.00  0.2632   0.3154 
 320.00  0.2525   0.3118 
 330.00  0.2632   0.3126 
 340.00  0.2830   0.3162 
 350.00  0.2799   0.3084 
 360.00  0.2704   0.3285 
 370.00  0.2847   0.3140 
 380.00  0.2872   0.2984 
 390.00  0.3012   0.3021 
 400.00  0.2950   0.2977 
 410.00  0.2870   0.3124 
 420.00  0.2952   0.3172 
 430.00  0.2975   0.3114 
 440.00  0.3046   0.3012 
 450.00  0.3064   0.3281 
 460.00  0.3174   0.3184 
 470.00  0.3257   0.3053 
 480.00  0.3261   0.3163 
 490.00  0.3210   0.3070 
 500.00  0.3268   0.2948 
 510.00  0.3177   0.3046 
 520.00  0.2996   0.3080 
 530.00  0.3019   0.3206 
 540.00  0.2850   0.3057 
 550.00  0.3005   0.3212 
 560.00  0.2949   0.3318 
 570.00  0.2984   0.3254 
 580.00  0.2937   0.3309 
 590.00  0.2969   0.3370 
 600.00  0.3013   0.3323 
 610.00  0.2918   0.3572 
 620.00  0.2943   0.3793 
 630.00  0.2993   0.3557 
 640.00  0.3249   0.3498 
 650.00  0.3121   0.3377 
 660.00  0.3158   0.3426 
 670.00  0.3237   0.3483 
 680.00  0.3135   0.3515 
 690.00  0.3254   0.3450 
 700.00  0.3185   0.3473 
 710.00  0.3107   0.3549 
 720.00  0.3177   0.3417 
 730.00  0.3014   0.3365 
 740.00  0.2891   0.3372 
 750.00  0.3005   0.3322 
 760.00  0.2964   0.3231 
 770.00  0.2987   0.3309 
 780.00  0.3006   0.3356 
 790.00  0.2900   0.3272 
 800.00  0.3269   0.3338 
 810.00  0.3156   0.3372 
 820.00  0.3051   0.3253 
 830.00  0.3018   0.3010 
 840.00  0.2792   0.2901 
 850.00  0.2798   0.3152 
 860.00  0.3062   0.3091 
 870.00  0.3086   0.3173 
 880.00  0.3063   0.3281 
 890.00  0.3056   0.3358 
 900.00  0.3070   0.3492 
 910.00  0.3193   0.3313 
 920.00  0.3011   0.3282 
 930.00  0.3021   0.3370 
 940.00  0.2906   0.3328 
 950.00  0.2969   0.3370 
 960.00  0.2923   0.3316 
 970.00  0.3021   0.3318 
 980.00  0.2795   0.3406 
 990.00  0.2796   0.3485 
1000.00  0.2836   0.3432 
